,attention.isActive,attention,eng.isActive,eng,exc.isActive,exc,lex,str.isActive,str,rel.isActive,rel,int.isActive,int,img,round
0,True,0.5,True,0.5,True,0.5,0.0,True,0.5,True,0.5,True,0.5,Car race 3,0
1,True,0.5,True,0.5,True,0.5,0.0,True,0.5,True,0.5,True,0.5,Car race 2,0
2,True,0.5,True,0.5,True,0.5,0.0,True,0.5,True,0.5,True,0.5,Cat 8,0
3,True,0.5,True,0.5,True,0.5,0.0,True,0.5,True,0.5,True,0.5,Baby 4,0
4,True,0.5,True,0.5,True,0.5,0.0,True,0.5,True,0.5,True,0.5,Office supplies 2,0
5,True,0.5,True,0.5,True,0.5,0.0,True,0.5,True,0.5,True,0.5,Lava 1,0
6,True,0.5,True,0.5,True,0.5,0.0,True,0.5,True,0.5,True,0.5,Mother 4,0
7,True,0.5,True,0.5,True,0.5,0.0,True,0.5,True,0.5,True,0.5,Wall 2,0
8,True,0.5,True,0.5,True,0.5,0.0,True,0.5,True,0.5,True,0.5,Lightning 3,0
9,True,0.5,True,0.5,True,0.5,0.0,True,0.5,True,0.5,True,0.5,Tumor 1,0
10,True,0.5,True,0.5,True,0.5,0.0,True,0.5,True,0.5,True,0.5,Dog 14,0
11,True,0.5,True,0.5,True,0.5,0.0,True,0.5,True,0.5,True,0.5,Bear 2,0
12,True,0.5,True,0.5,True,0.5,0.0,True,0.5,True,0.5,True,0.5,Fire 9,0
13,True,0.5,True,0.5,True,0.5,0.0,True,0.5,True,0.5,True,0.5,Cockroach 1,0
14,True,0.5,True,0.5,True,0.5,0.0,True,0.5,True,0.5,True,0.5,KKK rally 2,0
15,True,0.5,True,0.5,True,0.5,0.0,True,0.5,True,0.5,True,0.5,Stingray 1,0
16,True,0.5,True,0.5,True,0.5,0.0,True,0.5,True,0.5,True,0.5,Exercise 2,0
17,True,0.5,True,0.5,True,0.5,0.0,True,0.5,True,0.5,True,0.5,Dead bodies 3,0
18,True,0.5,True,0.5,True,0.5,0.0,True,0.5,True,0.5,True,0.5,Explosion 6,0
19,True,0.5,True,0.5,True,0.5,0.0,True,0.5,True,0.5,True,0.5,Seal 1,0
20,True,0.5,True,0.5,True,0.5,0.0,True,0.5,True,0.5,True,0.5,Pollution 1,0
21,True,0.5,True,0.5,True,0.5,0.0,True,0.5,True,0.5,True,0.5,Parachuting 4,0
22,True,0.5,True,0.5,True,0.5,0.0,True,0.5,True,0.5,True,0.5,Dog 6,0
23,True,0.5,True,0.5,True,0.5,0.0,True,0.5,True,0.5,True,0.5,Bark 3,0
24,True,0.5,True,0.5,True,0.5,0.0,True,0.5,True,0.5,True,0.5,Neutral face 4,0
25,True,0.5,True,0.5,True,0.5,0.0,True,0.5,True,0.5,True,0.5,Sunset 3,0
26,True,0.5,True,0.5,True,0.5,0.0,True,0.5,True,0.5,True,0.5,Snake 4,0
27,True,0.5,True,0.5,True,0.5,0.0,True,0.5,True,0.5,True,0.5,Dummy 1,0
28,True,0.5,True,0.5,True,0.5,0.0,True,0.5,True,0.5,True,0.5,Football player 1,0
29,True,0.5,True,0.5,True,0.5,0.0,True,0.5,True,0.5,True,0.5,Socks 1,0
30,True,0.5,True,0.5,True,0.5,0.0,True,0.5,True,0.5,True,0.5,Baby 2,0
31,True,0.5,True,0.5,True,0.5,0.0,True,0.5,True,0.5,True,0.5,Exercise 1,0
32,True,0.5,True,0.5,True,0.5,0.0,True,0.5,True,0.5,True,0.5,Miserable pose 3,0
33,True,0.5,True,0.5,True,0.5,0.0,True,0.5,True,0.5,True,0.5,Cockroach 4,0
34,True,0.5,True,0.5,True,0.5,0.0,True,0.5,True,0.5,True,0.5,Fence 2,0
35,True,0.5,True,0.5,True,0.5,0.0,True,0.5,True,0.5,True,0.5,Explosion 5,0
36,True,0.5,True,0.5,True,0.5,0.0,True,0.5,True,0.5,True,0.5,Rafting 5,0
37,True,0.5,True,0.5,True,0.5,0.0,True,0.5,True,0.5,True,0.5,Dog 23,0
38,True,0.5,True,0.5,True,0.5,0.0,True,0.5,True,0.5,True,0.5,Fireworks 2,0
39,True,0.5,True,0.5,True,0.5,0.0,True,0.5,True,0.5,True,0.5,Bark 4,0
40,True,0.5,True,0.5,True,0.5,0.0,True,0.5,True,0.5,True,0.5,Bark 1,0
41,True,0.5,True,0.5,True,0.5,0.0,True,0.5,True,0.5,True,0.5,Rocks 2,0
42,True,0.5,True,0.5,True,0.5,0.0,True,0.5,True,0.5,True,0.5,Dirt 1,0
43,True,0.5,True,0.5,True,0.5,0.0,True,0.5,True,0.5,True,0.5,Fire 6,0
44,True,0.5,True,0.5,True,0.5,0.0,True,0.5,True,0.5,True,0.5,Fire 8,0
45,True,0.5,True,0.5,True,0.5,0.0,True,0.5,True,0.5,True,0.5,Lake 9,0
46,True,0.5,True,0.5,True,0.5,0.0,True,0.5,True,0.5,True,0.5,Archery 1,0
47,True,0.5,True,0.5,True,0.5,0.0,True,0.5,True,0.5,True,0.5,Rainbow 2,0
48,True,0.5,True,0.5,True,0.5,0.0,True,0.5,True,0.5,True,0.5,Cotton swabs 3,0
49,True,0.5,True,0.5,True,0.5,0.0,True,0.5,True,0.5,True,0.5,Stingray 2,0
50,True,0.5,True,0.5,True,0.5,0.0,True,0.5,True,0.5,True,0.5,Sunset 6,0
